first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value,age,age_class
Brena,Schnitter,Female,78,1982-10-11,Account Executive,Manufacturing,Mass Customer,False,No,4,67 Shelley Street,4703,QLD,Australia,5,25,1.48,40,40.0
Rourke,Gillbard,Male,11,1945-08-03,Associate Professor,Property,Mass Customer,False,No,17,75 Cordelia Trail,4817,QLD,Australia,4,26,1.47,77,80.0
Dyane,Burwell,Female,19,1952-06-27,Engineer II,Retail,Mass Customer,False,Yes,7,51 Hooker Court,2640,NSW,Australia,2,26,1.47,70,70.0
Claudine,Barstowk,Female,71,1966-07-20,Nurse,Property,High Net Worth,False,Yes,5,1859 Forest Circle,4000,QLD,Australia,11,26,1.47,56,60.0
Blinnie,Roze,Female,84,1960-12-10,Librarian,Entertainment,High Net Worth,False,No,11,44557 Rutledge Court,4171,QLD,Australia,7,26,1.47,62,60.0
Rhona,De Freyne,Female,45,1960-11-22,Associate Professor,Health,High Net Worth,False,No,8,11184 East Drive,3056,VIC,Australia,10,30,1.46,62,60.0
Sharron,Claibourn,Female,62,1980-01-26,Associate Professor,Financial Services,High Net Worth,False,Yes,17,555 Hermina Avenue,2280,NSW,Australia,8,30,1.46,43,40.0
Brien,Heaton,Male,70,1951-11-28,Clinical Specialist,Health,Mass Customer,False,Yes,12,8 Novick Trail,2470,NSW,Australia,2,32,1.45,71,70.0
Sybilla,MacCart,Female,88,1987-01-15,Paralegal,Financial Services,Mass Customer,False,Yes,7,74 Welch Pass,2620,NSW,Australia,7,32,1.45,36,40.0
Mikel,McNess,Male,71,1981-09-22,Nurse,Financial Services,Mass Customer,False,No,9,3 Pleasure Drive,4122,QLD,Australia,9,32,1.45,41,40.0
Maisie,Maddox,Female,27,1977-05-09,Assistant Manager,Financial Services,Affluent Customer,False,No,20,8 Dennis Point,3226,VIC,Australia,9,32,1.45,45,40.0
Arleen,Casbolt,Female,48,1975-05-10,Senior Quality Engineer,Financial Services,Affluent Customer,False,Yes,13,41042 Lotheville Crossing,4817,QLD,Australia,1,36,1.45,47,50.0
Farlie,Petford,Male,76,1968-03-25,Recruiting Manager,Financial Services,High Net Worth,False,No,13,2330 Butternut Trail,2017,NSW,Australia,10,36,1.45,54,50.0
Mitchell,MacCague,Male,58,1979-04-11,Associate Professor,Manufacturing,Mass Customer,False,No,15,240 Acker Avenue,3190,VIC,Australia,8,38,1.44,43,40.0
Garik,Whitwell,Male,44,1955-06-13,Associate Professor,Property,Mass Customer,False,Yes,13,04 Dexter Way,3280,VIC,Australia,2,38,1.44,67,70.0
Antonin,Britt,Male,64,1993-08-28,Associate Professor,Manufacturing,Affluent Customer,False,Yes,8,011 Northland Trail,2160,NSW,Australia,9,40,1.43,29,30.0
Vinny,Incogna,Female,73,1953-02-13,Associate Professor,Health,High Net Worth,False,No,10,8 Grayhawk Circle,2756,NSW,Australia,8,40,1.43,70,70.0
Colene,Fishleigh,Female,24,1985-03-14,Design Engineer,Financial Services,Mass Customer,False,No,3,44 Darwin Lane,3149,VIC,Australia,10,42,1.42,37,40.0
Neile,Argent,Female,79,1946-10-25,Associate Professor,Retail,Mass Customer,False,No,8,2548 Arrowood Pass,2024,NSW,Australia,10,42,1.42,76,80.0
Corinna,Suggey,Female,52,1966-09-18,Design Engineer,Financial Services,Affluent Customer,False,No,9,938 Ilene Road,2761,NSW,Australia,8,44,1.42,56,60.0
Brooke,Arling,Male,76,1961-12-05,Associate Professor,Financial Services,High Net Worth,False,No,6,6 Melby Center,3027,VIC,Australia,5,44,1.42,61,60.0
Gipsy,Ewestace,Female,29,1956-08-30,Business Systems Development Analyst,Retail,High Net Worth,False,Yes,5,08708 Moulton Park,2034,NSW,Australia,12,46,1.41,66,70.0
Sheena,Kybbye,Female,14,1956-07-16,Paralegal,Financial Services,Affluent Customer,False,Yes,19,306 Clemons Junction,4852,QLD,Australia,1,46,1.41,66,70.0
Jobina,Gobourn,Female,85,1994-12-04,VP Quality Control,Financial Services,High Net Worth,False,Yes,14,18 Grim Road,4305,QLD,Australia,4,46,1.41,28,30.0
Gale,Disbrow,Female,59,1977-05-14,Cost Accountant,Financial Services,Mass Customer,False,Yes,17,169 Bashford Drive,3741,VIC,Australia,7,46,1.41,45,40.0
Thaxter,Kingsbury,Male,12,1950-05-03,Product Engineer,Argiculture,Mass Customer,False,No,20,3 Vermont Lane,2067,NSW,Australia,12,50,1.41,72,70.0
Heinrick,Shilstone,Male,60,1978-02-11,Associate Professor,Manufacturing,Affluent Customer,False,No,10,998 Gale Park,3174,VIC,Australia,8,50,1.41,45,40.0
Taylor,Steuhlmeyer,Male,62,1999-03-22,Paralegal,Financial Services,Affluent Customer,False,Yes,5,64 Mcguire Trail,4017,QLD,Australia,8,52,1.39,23,20.0
Griswold,Kelsall,Male,55,1993-12-19,Social Worker,Health,High Net Worth,False,Yes,11,74127 Blaine Point,3805,VIC,Australia,7,52,1.39,29,30.0
Odessa,Mc Andrew,Female,97,1981-12-01,Associate Professor,Property,Mass Customer,False,No,8,31756 Meadow Valley Lane,2232,NSW,Australia,10,54,1.38,41,40.0
Lavena,Seekings,Female,87,1995-03-25,Payment Adjustment Coordinator,Retail,Mass Customer,False,No,16,293 Mayfield Street,3166,VIC,Australia,10,54,1.38,27,30.0
Martelle,Tuppeny,Female,52,1981-02-03,Marketing Assistant,Manufacturing,Mass Customer,False,No,9,261 Grayhawk Way,2226,NSW,Australia,10,54,1.38,42,40.0
Briant,Ladley,Male,75,1979-12-17,Recruiter,Argiculture,Mass Customer,False,No,12,2 Schlimgen Terrace,2750,NSW,Australia,8,57,1.38,43,40.0
Marylou,Kirkup,Female,51,1972-10-31,VP Product Management,Financial Services,Mass Customer,False,No,14,76733 Sunbrook Terrace,3196,VIC,Australia,9,57,1.38,50,50.0
Whittaker,,Male,64,1966-07-29,Media Manager III,Financial Services,Mass Customer,False,Yes,8,683 Florence Way,3156,VIC,Australia,5,57,1.38,56,60.0
Normy,Goodinge,Unidentified,5,1941-07-21,Associate Professor,IT,Mass Customer,False,No,4,7232 Fulton Parkway,3810,VIC,Australia,5,57,1.38,81,80.0
Lorrie,Antonelli,Male,47,1983-02-11,Cost Accountant,Financial Services,High Net Worth,False,Yes,17,06936 Bobwhite Circle,2257,NSW,Australia,7,57,1.38,40,40.0
Jedediah,Kedie,Male,31,1971-12-29,Developer I,Argiculture,Mass Customer,False,Yes,9,283 Acker Drive,2763,NSW,Australia,9,62,1.37,51,50.0
Kaine,Smallcombe,Male,59,1942-02-06,Senior Financial Analyst,Financial Services,High Net Worth,False,No,11,9 Mosinee Parkway,2072,NSW,Australia,10,62,1.37,81,80.0
Loise,Iltchev,Female,70,1967-03-18,Electrical Engineer,Manufacturing,High Net Worth,False,Yes,17,45 Becker Place,4504,QLD,Australia,6,62,1.37,55,60.0
Cristen,Maroney,Female,22,1999-11-21,Accountant IV,IT,High Net Worth,False,Yes,7,27 Karstens Crossing,4214,QLD,Australia,7,65,1.36,23,20.0
Dorothy,Barnardo,Female,58,1983-02-01,Human Resources Manager,Retail,High Net Worth,False,No,12,9630 Cottonwood Avenue,2168,NSW,Australia,8,65,1.36,40,40.0
Rosmunda,Duxbarry,Female,69,1996-07-20,Executive Secretary,Property,Affluent Customer,False,Yes,5,989 Graedel Terrace,4208,QLD,Australia,11,65,1.36,26,30.0
Rozamond,Riha,Female,54,1984-10-07,Account Representative I,Manufacturing,Affluent Customer,False,Yes,16,76 Bartelt Center,4078,QLD,Australia,7,68,1.35,38,40.0
Gunner,Petti,Male,62,1999-06-08,Executive Secretary,Financial Services,High Net Worth,False,Yes,3,29778 Mendota Drive,4036,QLD,Australia,5,68,1.35,23,20.0
Vivienne,Crayden,Female,82,1988-09-18,Associate Professor,Financial Services,High Net Worth,False,Yes,6,69 Algoma Center,4173,QLD,Australia,7,68,1.35,34,30.0
Sherilyn,Canero,Female,11,1996-08-03,Dental Hygienist,Health,High Net Worth,False,Yes,13,8288 Lyons Way,2484,NSW,Australia,7,68,1.35,26,30.0
Bessie,Roscow,Female,78,1994-08-04,GIS Technical Architect,Financial Services,Mass Customer,False,No,9,4185 Florence Trail,2121,NSW,Australia,10,72,1.35,28,30.0
Kevina,Ferandez,Female,73,1999-09-21,Assistant Professor,Financial Services,High Net Worth,False,No,15,9608 Heffernan Drive,4068,QLD,Australia,9,72,1.35,23,20.0
Yancy,Clementet,Male,5,1968-02-16,Mechanical Systems Engineer,Financial Services,High Net Worth,False,No,15,9 Union Center,2147,NSW,Australia,9,72,1.35,55,60.0
Mabelle,Wellbelove,Female,76,1958-04-21,Associate Professor,Financial Services,Affluent Customer,False,Yes,19,800 Emmet Park,2219,NSW,Australia,9,72,1.35,64,60.0
Hasheem,Groucock,Male,98,1974-09-17,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,False,Yes,10,12351 Spenser Pass,2034,NSW,Australia,12,72,1.35,48,50.0
Tobias,Woodhams,Male,0,1961-04-15,Research Nurse,Health,Mass Customer,False,No,17,4 Valley Edge Plaza,2759,NSW,Australia,9,77,1.34,61,60.0
Glennis,Flintoff,Female,36,1956-10-22,Speech Pathologist,Health,Affluent Customer,False,Yes,13,1601 Rutledge Lane,3030,VIC,Australia,7,78,1.34,66,70.0
Chanda,Mensler,Female,15,1972-01-14,Computer Systems Analyst IV,Manufacturing,Mass Customer,False,Yes,13,0 Mockingbird Plaza,2212,NSW,Australia,10,78,1.34,51,50.0
Katheryn,Kinner,Female,15,1973-11-28,Analyst Programmer,Entertainment,High Net Worth,False,No,6,1665 Kenwood Center,2518,NSW,Australia,6,78,1.34,49,50.0
Sumner,Carrivick,Male,53,1995-04-09,Desktop Support Technician,Manufacturing,Mass Customer,False,No,15,5 4th Center,2097,NSW,Australia,12,78,1.34,27,30.0
Valerie,Pickover,Female,34,1965-09-08,Editor,Financial Services,Mass Customer,False,No,9,92214 Spenser Road,2756,NSW,Australia,8,78,1.34,57,60.0
Esther,Rooson,Female,14,1981-02-22,Associate Professor,Financial Services,Mass Customer,False,No,5,5186 Main Trail,2046,NSW,Australia,9,78,1.34,42,40.0
Gardie,Crellim,Male,58,1975-09-12,Biostatistician IV,Manufacturing,High Net Worth,False,No,8,564 Forest Dale Avenue,3161,VIC,Australia,12,84,1.33,47,50.0
Sean,O'Loughlin,Male,48,1961-03-22,Database Administrator III,Manufacturing,High Net Worth,False,Yes,16,83 Old Gate Point,2576,NSW,Australia,10,85,1.32,61,60.0
Pietra,Buckleigh,Female,9,1949-04-29,Engineer III,Financial Services,High Net Worth,False,No,13,387 Dixon Alley,2024,NSW,Australia,10,85,1.32,73,70.0
Marysa,Rouchy,Female,8,1999-02-15,Assistant Media Planner,Entertainment,Affluent Customer,False,No,5,411 Twin Pines Way,2026,NSW,Australia,9,85,1.32,24,20.0
Kahaleel,,Male,5,1942-11-01,GIS Technical Architect,Financial Services,High Net Worth,False,No,13,12 Arapahoe Park,2035,NSW,Australia,12,88,1.31,80,80.0
Ossie,Midden,Male,49,1950-02-10,Physical Therapy Assistant,Manufacturing,Mass Customer,False,Yes,14,4915 Debra Center,2479,NSW,Australia,9,89,1.31,73,70.0
Sid,Carlone,Male,24,1971-08-18,Structural Engineer,Health,Affluent Customer,False,No,16,76 Sunnyside Avenue,4670,QLD,Australia,2,89,1.31,51,50.0
Ludovico,Juster,Male,93,1992-04-19,Environmental Specialist,Financial Services,Affluent Customer,False,No,15,1 Talisman Avenue,2125,NSW,Australia,10,89,1.31,30,30.0
Patricia,Everix,Female,34,1978-02-19,Director of Sales,Health,Mass Customer,False,No,19,91164 Washington Terrace,2263,NSW,Australia,7,89,1.31,45,40.0
Andromache,Bonafacino,Female,84,1977-09-01,Associate Professor,Retail,Mass Customer,False,No,11,74 Carpenter Street,2015,NSW,Australia,9,89,1.31,45,40.0
Levy,Abramamov,Male,94,1952-09-21,Teacher,Financial Services,Affluent Customer,False,Yes,14,6776 Anderson Center,4037,QLD,Australia,8,89,1.31,70,70.0
Nobe,McAughtry,Male,25,1978-12-14,Associate Professor,Financial Services,Mass Customer,False,No,12,1 Orin Hill,4510,QLD,Australia,5,89,1.31,44,40.0
Jehu,Prestedge,Male,91,1999-10-20,Associate Professor,Manufacturing,High Net Worth,False,Yes,8,88 Annamark Avenue,2138,NSW,Australia,12,96,1.3,23,20.0
Symon,Mawne,Male,18,1943-02-08,Human Resources Assistant IV,Property,Mass Customer,False,Yes,15,37439 High Crossing Circle,3350,VIC,Australia,4,96,1.3,80,80.0
Karlik,Penchen,Male,60,1994-10-31,Nurse Practicioner,Retail,Mass Customer,False,No,11,5 Nevada Point,4017,QLD,Australia,6,96,1.3,28,30.0
Bengt,Bilson,Male,26,1972-11-02,Structural Engineer,Manufacturing,High Net Worth,False,No,11,67 Grayhawk Circle,2232,NSW,Australia,10,99,1.3,50,50.0
Evangelin,Boc,Female,30,2000-05-09,Structural Analysis Engineer,Manufacturing,High Net Worth,False,Yes,14,0 Meadow Ridge Street,3173,VIC,Australia,8,99,1.3,22,20.0
Hanny,Treven,Female,84,1991-01-22,Associate Professor,Retail,Mass Customer,False,No,3,5 Quincy Street,4118,QLD,Australia,4,99,1.3,32,30.0
Gina,Mallon,Female,56,1994-02-11,Dental Hygienist,Health,Mass Customer,False,No,12,13025 Johnson Plaza,4670,QLD,Australia,2,102,1.29,29,30.0
Reynold,Elman,Male,19,1940-01-18,Marketing Manager,Manufacturing,Mass Customer,False,No,9,966 Sunnyside Center,2390,NSW,Australia,2,102,1.29,83,80.0
Flossy,Concannon,Female,64,1980-10-20,Staff Accountant IV,Financial Services,Affluent Customer,False,No,8,802 Mallory Park,3919,VIC,Australia,2,104,1.29,42,40.0
Cristen,Wiltshire,Female,59,1961-10-20,VP Sales,Financial Services,High Net Worth,False,Yes,15,93 Judy Drive,3047,VIC,Australia,6,104,1.29,61,60.0
Griffith,Escot,Male,50,1946-10-23,Accountant III,IT,Mass Customer,False,Yes,16,94 Manitowish Court,4116,QLD,Australia,3,104,1.29,76,80.0
Jamie,Jiruca,Female,21,1963-06-16,Recruiting Manager,Argiculture,Mass Customer,False,No,18,5013 Erie Crossing,2230,NSW,Australia,9,104,1.29,59,60.0
Lyon,Brittan,Male,14,1972-04-23,Sales Representative,Retail,High Net Worth,False,No,19,540 Sachs Road,3153,VIC,Australia,8,104,1.29,50,50.0
Aridatha,Sephton,Female,95,1961-10-22,Human Resources Assistant II,Financial Services,Mass Customer,False,No,5,422 Forster Circle,2340,NSW,Australia,1,104,1.29,61,60.0
Michal,Bryan,Female,1,1969-11-09,Associate Professor,Manufacturing,Mass Customer,False,Yes,16,4275 Bluestem Pass,4000,QLD,Australia,8,104,1.29,53,50.0
Franciska,Stigell,Female,95,1968-11-15,Food Chemist,Health,Mass Customer,False,Yes,7,6 Anderson Junction,3802,VIC,Australia,7,111,1.28,54,50.0
Jordan,Clampe,Male,37,1939-12-09,Staff Scientist,Financial Services,Mass Customer,False,Yes,11,276 Westend Road,4207,QLD,Australia,5,111,1.28,83,80.0
David,Napoleon,Male,72,1961-11-05,Structural Engineer,Financial Services,High Net Worth,False,No,14,69 Garrison Point,2223,NSW,Australia,11,111,1.28,61,60.0
Meriel,Tapp,Female,0,1995-08-13,VP Sales,IT,Mass Customer,False,No,5,65 Milwaukee Hill,3280,VIC,Australia,2,114,1.27,27,30.0
Dolley,Starmont,Female,53,1977-11-08,Geologist IV,Manufacturing,Affluent Customer,False,No,18,4252 Dovetail Pass,4129,QLD,Australia,6,114,1.27,45,40.0
Frederik,Milan,Male,45,1997-11-13,Associate Professor,Health,Mass Customer,False,No,5,56 Riverside Street,2546,NSW,Australia,5,114,1.27,25,20.0
Rollo,Louedey,Male,64,1946-07-09,Information Systems Manager,Telecommunications,Affluent Customer,False,Yes,17,7 Cascade Park,2089,NSW,Australia,9,114,1.27,76,80.0
Jerrine,Cosbey,Female,21,1978-01-11,Junior Executive,Financial Services,High Net Worth,False,Yes,6,29307 Russell Avenue,3094,VIC,Australia,9,114,1.27,45,40.0
Roddy,Rubinshtein,Male,37,1987-10-08,Nurse Practicioner,Retail,Mass Customer,False,Yes,4,3 Mcguire Crossing,4510,QLD,Australia,7,114,1.27,35,40.0
Viki,Coutts,Female,2,1952-12-14,Automation Specialist II,Property,Mass Customer,False,Yes,7,6 Golf View Alley,2287,NSW,Australia,4,120,1.26,70,70.0
Ashby,Bispham,Male,71,1981-10-29,Software Consultant,Retail,Affluent Customer,False,No,4,83716 Russell Lane,2145,NSW,Australia,8,120,1.26,41,40.0
Alexander,Broadbent,Male,57,1997-05-28,Desktop Support Technician,Financial Services,Mass Customer,False,No,9,265 Stephen Trail,2209,NSW,Australia,10,120,1.26,25,20.0
Teddy,Lagadu,Female,86,1969-07-20,Design Engineer,Financial Services,High Net Worth,False,No,6,2 Charing Cross Trail,2759,NSW,Australia,8,120,1.26,53,50.0
Peria,Rantoull,Female,3,1975-03-13,Financial Analyst,Financial Services,Mass Customer,False,No,4,8350 Moulton Terrace,4500,QLD,Australia,4,120,1.26,47,50.0
Ludvig,Andren,Male,44,1941-02-22,Media Manager III,Financial Services,High Net Worth,False,Yes,15,578 Waywood Circle,4306,QLD,Australia,5,125,1.26,82,80.0
Elsworth,Abbitt,Male,71,1956-02-08,Associate Professor,Health,Mass Customer,False,Yes,6,9722 Northport Way,3500,VIC,Australia,3,125,1.26,67,70.0
Rebeca,Aggas,Female,66,1953-02-27,Social Worker,Health,Affluent Customer,False,No,21,7026 Katie Lane,3818,VIC,Australia,1,127,1.25,70,70.0
Ricki,Dobrowski,Male,13,1975-03-10,Civil Engineer,Manufacturing,Mass Customer,False,Yes,9,8 Eggendart Pass,2835,NSW,Australia,1,127,1.25,48,50.0
Georgetta,Lovett,Female,42,1940-02-02,Editor,Retail,Mass Customer,False,No,12,1 Bluejay Place,4405,QLD,Australia,1,127,1.25,83,80.0
Bambi,Cogger,Female,51,1990-07-12,Design Engineer,Retail,Affluent Customer,False,Yes,5,28970 Monument Lane,2560,NSW,Australia,7,127,1.25,32,30.0
Aurie,Rhead,Female,78,1962-07-28,Geological Engineer,Manufacturing,Affluent Customer,False,Yes,5,235 Mendota Court,2650,NSW,Australia,2,127,1.25,60,60.0
Farris,Skettles,Male,38,1965-07-03,Payment Adjustment Coordinator,Financial Services,Mass Customer,False,Yes,13,49309 Redwing Lane,3240,VIC,Australia,7,132,1.25,57,60.0
Sharline,Abyss,Female,11,1960-03-18,Associate Professor,Financial Services,Mass Customer,False,Yes,15,367 Bay Point,4011,QLD,Australia,4,133,1.24,62,60.0
Nowell,Preddy,Male,29,1985-07-23,Associate Professor,Manufacturing,Mass Customer,False,No,9,932 Glendale Avenue,2173,NSW,Australia,9,133,1.24,37,40.0
Lacy,Drance,Female,27,1978-02-05,Graphic Designer,Manufacturing,Affluent Customer,False,Yes,14,492 Waywood Lane,2750,NSW,Australia,8,133,1.24,45,40.0
Padraig,Snel,Male,89,1970-11-08,Staff Accountant II,Financial Services,Mass Customer,False,No,19,12683 Mifflin Point,2114,NSW,Australia,7,133,1.24,52,50.0
Malorie,Votier,Female,90,1990-05-29,Graphic Designer,Manufacturing,Affluent Customer,False,No,4,6160 Weeping Birch Hill,4509,QLD,Australia,5,133,1.24,32,30.0
Shepperd,Ricards,Male,28,1967-09-27,Social Worker,Health,Mass Customer,False,Yes,16,7 Oakridge Lane,2284,NSW,Australia,4,133,1.24,55,60.0
Daryl,Pauncefort,Female,12,1979-06-18,Community Outreach Specialist,Financial Services,Mass Customer,False,Yes,12,0 Dexter Parkway,2380,NSW,Australia,3,133,1.24,43,40.0
Norina,Blakeway,Female,60,1980-02-11,Programmer Analyst II,Property,Mass Customer,False,Yes,3,75813 Lawn Lane,3081,VIC,Australia,8,133,1.24,43,40.0
My,Chaston,Male,92,1966-07-16,Desktop Support Technician,Manufacturing,Affluent Customer,False,Yes,16,74613 Northport Park,3765,VIC,Australia,9,133,1.24,56,60.0
Isak,Bergstram,Male,14,2001-03-08,Pharmacist,Health,Affluent Customer,False,Yes,15,68 Karstens Pass,2176,NSW,Australia,9,142,1.24,21,20.0
Grannie,Cracker,Male,28,1949-03-06,VP Marketing,Retail,Mass Customer,False,Yes,20,87254 Hermina Pass,4217,QLD,Australia,8,142,1.24,74,70.0
Welby,Lourenco,Male,6,1975-12-27,Senior Cost Accountant,Financial Services,High Net Worth,False,Yes,17,801 Atwood Alley,2138,NSW,Australia,9,144,1.23,47,50.0
Glenn,Casbourne,Female,4,1981-08-08,Senior Editor,Manufacturing,Mass Customer,False,No,6,2 Morrow Alley,4207,QLD,Australia,1,144,1.23,41,40.0
Nadiya,Balasini,Female,40,1950-11-05,Sales Associate,Financial Services,Mass Customer,False,No,15,92934 Mallory Trail,2164,NSW,Australia,9,146,1.23,72,70.0
Tyne,Coate,Female,82,1965-07-15,Developer II,Manufacturing,Mass Customer,False,No,17,90820 Thackeray Street,2218,NSW,Australia,8,146,1.23,57,60.0
Christie,Anders,Male,38,1969-10-02,VP Marketing,Retail,Mass Customer,False,No,16,48 Ludington Plaza,2153,NSW,Australia,10,146,1.23,53,50.0
Agnella,Capener,Female,58,1969-05-21,Teacher,Health,High Net Worth,False,No,19,49185 Derek Circle,3977,VIC,Australia,6,146,1.23,53,50.0
Bernardine,Delmonti,Female,39,1971-03-31,Associate Professor,Property,Mass Customer,False,No,17,0721 Meadow Ridge Pass,2540,NSW,Australia,8,146,1.23,51,50.0
Daisy,Spowart,Female,60,1967-12-18,Staff Accountant I,Health,Affluent Customer,False,Yes,4,115 Westridge Road,4570,QLD,Australia,3,146,1.23,55,60.0
Denys,Minshall,Female,30,1961-12-26,Environmental Tech,Manufacturing,Affluent Customer,False,Yes,14,7 Myrtle Lane,2324,NSW,Australia,8,152,1.22,61,60.0
Archibald,Blessed,Male,61,1969-02-10,VP Sales,Financial Services,Mass Customer,False,Yes,18,7795 Memorial Drive,2016,NSW,Australia,11,153,1.22,54,50.0
Feodor,Englishby,Male,54,1961-08-14,Account Coordinator,Health,Mass Customer,False,No,11,24695 Boyd Road,3201,VIC,Australia,5,154,1.2,61,60.0
Skippie,Yearsley,Male,6,1956-09-04,Compensation Analyst,Financial Services,Mass Customer,False,No,9,95306 John Wall Avenue,4350,QLD,Australia,5,155,1.2,66,70.0
Bill,,Female,74,1963-04-24,Human Resources Assistant II,Property,Mass Customer,False,Yes,19,6704 Pine View Lane,2170,NSW,Australia,9,155,1.2,59,60.0
Tessa,Friese,Female,89,1976-10-24,Health Coach II,Financial Services,Mass Customer,False,No,21,98158 Alpine Point,4212,QLD,Australia,9,157,1.2,46,50.0
Roseanne,Caruth,Female,16,1957-05-25,Programmer Analyst III,Health,Mass Customer,False,No,7,33652 Lyons Alley,2763,NSW,Australia,9,158,1.19,65,60.0
Tedra,Goodbanne,Female,4,1978-01-15,Senior Quality Engineer,Financial Services,Mass Customer,False,Yes,6,8 Debs Road,3934,VIC,Australia,9,158,1.19,45,40.0
Roberto,Harme,Male,27,1951-06-11,Environmental Tech,Financial Services,High Net Worth,False,No,10,101 Starling Pass,2564,NSW,Australia,9,158,1.19,71,70.0
Nichole,Leisman,Male,37,1986-08-07,Geologist III,Property,Affluent Customer,False,No,4,35151 Bunker Hill Crossing,2068,NSW,Australia,12,158,1.19,36,40.0
Amil,Ennor,Female,23,1995-08-04,Health Coach II,Health,Mass Customer,False,Yes,10,2093 Amoth Pass,3109,VIC,Australia,11,158,1.19,27,30.0
